traffic_light,step_time,reward,lanes_queue,waiting_time_per_lane
t,935.0,1.9100000000000001,"[0, 0, 6, 7]","[0.0, 0.0, 588.0, 521.0]"
t,940.0,-0.33000000000000007,"[0, 0, 4, 5]","[0.0, 0.0, 613.0, 550.0]"
t,945.0,-0.47000000000000064,"[0, 0, 6, 6]","[0.0, 0.0, 637.0, 576.0]"
t,950.0,-0.47000000000000064,"[1, 0, 5, 4]","[1.0, 0.0, 530.0, 473.0]"
t,955.0,1.8600000000000012,"[1, 0, 4, 3]","[6.0, 0.0, 428.0, 373.0]"
t,960.0,1.9699999999999989,"[0, 0, 4, 2]","[0.0, 0.0, 446.0, 325.0]"
t,965.0,0.23000000000000043,"[0, 0, 4, 4]","[0.0, 0.0, 467.0, 339.0]"
t,970.0,-0.41000000000000014,"[0, 0, 8, 7]","[0.0, 0.0, 500.0, 365.0]"
t,975.0,-0.7300000000000004,"[0, 0, 10, 9]","[0.0, 0.0, 471.0, 340.0]"
t,980.0,1.54,"[0, 0, 9, 7]","[0.0, 0.0, 375.0, 249.0]"
t,985.0,1.87,"[1, 0, 8, 6]","[3.0, 0.0, 286.0, 183.0]"
t,990.0,1.87,"[0, 0, 5, 4]","[0.0, 0.0, 315.0, 208.0]"
t,995.0,0.2400000000000002,"[0, 0, 4, 4]","[0.0, 0.0, 341.0, 227.0]"
t,1000.0,-0.4399999999999995,"[0, 0, 5, 5]","[0.0, 0.0, 291.0, 206.0]"
t,1005.0,1.46,"[0, 0, 3, 4]","[0.0, 0.0, 212.0, 146.0]"
t,1010.0,1.3499999999999996,"[0, 0, 4, 2]","[0.0, 0.0, 144.0, 121.0]"
t,1015.0,1.3499999999999996,"[0, 0, 2, 3]","[0.0, 0.0, 157.0, 134.0]"
t,1020.0,0.04999999999999982,"[0, 0, 4, 5]","[0.0, 0.0, 174.0, 156.0]"
t,1025.0,-0.3899999999999997,"[0, 0, 7, 8]","[0.0, 0.0, 203.0, 190.0]"
t,1030.0,-0.6300000000000003,"[0, 0, 11, 11]","[0.0, 0.0, 249.0, 240.0]"
t,1035.0,-0.9599999999999995,"[0, 0, 14, 14]","[0.0, 0.0, 314.0, 306.0]"
t,1040.0,-1.3100000000000005,"[0, 0, 17, 18]","[0.0, 0.0, 395.0, 387.0]"
t,1045.0,-1.62,"[0, 0, 19, 19]","[0.0, 0.0, 489.0, 481.0]"
t,1050.0,-1.879999999999999,"[0, 0, 19, 19]","[0.0, 0.0, 584.0, 576.0]"
t,1055.0,-1.9000000000000004,"[0, 0, 19, 19]","[0.0, 0.0, 679.0, 671.0]"
t,1060.0,-1.9000000000000004,"[1, 0, 16, 16]","[2.0, 0.0, 703.0, 695.0]"
t,1065.0,0.14000000000000057,"[1, 1, 11, 11]","[7.0, 1.0, 646.0, 639.0]"
t,1070.0,1.1600000000000001,"[0, 0, 7, 8]","[0.0, 0.0, 574.0, 627.0]"
t,1075.0,-0.28000000000000114,"[0, 0, 4, 6]","[0.0, 0.0, 599.0, 659.0]"
t,1080.0,-0.4800000000000004,"[0, 0, 4, 6]","[0.0, 0.0, 618.0, 688.0]"
t,1085.0,-0.6699999999999999,"[0, 0, 8, 9]","[0.0, 0.0, 652.0, 728.0]"
t,1090.0,-0.6699999999999999,"[1, 0, 7, 9]","[2.0, 0.0, 551.0, 631.0]"
t,1095.0,1.620000000000001,"[1, 0, 6, 7]","[7.0, 0.0, 456.0, 539.0]"
t,1100.0,1.8699999999999992,"[0, 0, 5, 5]","[0.0, 0.0, 430.0, 505.0]"
t,1105.0,0.5200000000000014,"[0, 0, 4, 4]","[0.0, 0.0, 451.0, 527.0]"
t,1110.0,-0.40000000000000036,"[0, 0, 6, 5]","[0.0, 0.0, 476.0, 548.0]"
t,1115.0,-0.40000000000000036,"[1, 0, 4, 4]","[3.0, 0.0, 379.0, 442.0]"
t,1120.0,1.7799999999999994,"[1, 1, 3, 4]","[8.0, 4.0, 287.0, 344.0]"
t,1125.0,1.8100000000000005,"[0, 0, 1, 3]","[0.0, 3.0, 243.0, 357.0]"
t,1130.0,0.3099999999999996,"[0, 0, 3, 5]","[0.0, 0.0, 258.0, 375.0]"
t,1135.0,-0.39999999999999947,"[0, 0, 6, 5]","[0.0, 0.0, 224.0, 339.0]"
t,1140.0,1.6899999999999995,"[0, 0, 4, 4]","[0.0, 0.0, 189.0, 302.0]"
t,1145.0,1.9100000000000001,"[1, 0, 4, 3]","[3.0, 0.0, 80.0, 199.0]"
t,1150.0,1.9100000000000001,"[0, 0, 4, 4]","[0.0, 0.0, 96.0, 215.0]"
t,1155.0,-0.26000000000000023,"[0, 0, 3, 5]","[0.0, 0.0, 113.0, 237.0]"
t,1160.0,-0.41999999999999993,"[0, 0, 6, 7]","[0.0, 0.0, 114.0, 197.0]"
t,1165.0,1.0300000000000002,"[1, 2, 3, 5]","[5.0, 8.0, 89.0, 125.0]"
t,1170.0,0.43999999999999995,"[2, 2, 2, 5]","[13.0, 18.0, 67.0, 99.0]"
t,1175.0,0.43999999999999995,"[0, 0, 2, 2]","[2.0, 2.0, 75.0, 116.0]"
t,1180.0,0.17999999999999994,"[0, 0, 4, 4]","[0.0, 0.0, 93.0, 133.0]"
t,1185.0,-0.30999999999999983,"[0, 0, 5, 4]","[0.0, 0.0, 99.0, 131.0]"
t,1190.0,0.20999999999999996,"[0, 1, 3, 4]","[0.0, 5.0, 61.0, 106.0]"
t,1195.0,0.5099999999999998,"[0, 0, 3, 2]","[0.0, 0.0, 63.0, 99.0]"
t,1200.0,-0.30000000000000004,"[0, 0, 3, 3]","[0.0, 0.0, 78.0, 112.0]"
t,1205.0,-0.3899999999999999,"[0, 0, 5, 6]","[0.0, 0.0, 97.0, 137.0]"
t,1210.0,-0.7000000000000002,"[0, 0, 9, 9]","[0.0, 0.0, 133.0, 178.0]"
t,1215.0,-0.7000000000000002,"[0, 0, 8, 9]","[0.0, 0.0, 123.0, 160.0]"
t,1220.0,-0.06999999999999984,"[1, 0, 5, 7]","[4.0, 0.0, 110.0, 148.0]"
t,1225.0,0.41000000000000014,"[0, 0, 4, 4]","[0.0, 0.0, 120.0, 150.0]"
t,1230.0,-0.30000000000000027,"[0, 0, 5, 3]","[0.0, 0.0, 139.0, 166.0]"
t,1235.0,-0.3899999999999997,"[0, 0, 6, 5]","[0.0, 0.0, 164.0, 184.0]"
t,1240.0,-0.3899999999999997,"[0, 0, 4, 3]","[0.0, 0.0, 144.0, 147.0]"
t,1245.0,0.36999999999999966,"[1, 1, 3, 2]","[5.0, 1.0, 111.0, 112.0]"
t,1250.0,0.6200000000000001,"[0, 0, 1, 3]","[4.0, 0.0, 120.0, 105.0]"
t,1255.0,-0.08999999999999986,"[0, 0, 5, 3]","[0.0, 0.0, 139.0, 119.0]"
t,1260.0,-0.3799999999999999,"[0, 0, 6, 5]","[0.0, 0.0, 138.0, 118.0]"
t,1265.0,0.33999999999999986,"[0, 0, 4, 4]","[0.0, 0.0, 112.0, 113.0]"
t,1270.0,0.75,"[1, 0, 3, 3]","[5.0, 0.0, 87.0, 82.0]"
t,1275.0,0.75,"[0, 0, 3, 2]","[2.0, 0.0, 101.0, 93.0]"
t,1280.0,-0.32000000000000006,"[0, 0, 4, 4]","[0.0, 0.0, 119.0, 109.0]"
t,1285.0,-0.3899999999999999,"[0, 0, 4, 7]","[0.0, 0.0, 117.0, 110.0]"
t,1290.0,0.3899999999999999,"[0, 0, 4, 4]","[0.0, 0.0, 85.0, 83.0]"
t,1295.0,0.43999999999999995,"[1, 2, 1, 4]","[1.0, 6.0, 58.0, 75.0]"
t,1300.0,0.43999999999999995,"[0, 0, 1, 3]","[0.0, 0.0, 61.0, 91.0]"
t,1305.0,0.030000000000000027,"[0, 0, 4, 5]","[0.0, 0.0, 75.0, 109.0]"
t,1310.0,-0.32000000000000006,"[0, 0, 4, 5]","[0.0, 0.0, 78.0, 114.0]"
t,1315.0,0.13000000000000012,"[1, 2, 2, 4]","[2.0, 5.0, 46.0, 95.0]"
t,1320.0,0.24,"[0, 1, 2, 3]","[0.0, 6.0, 57.0, 92.0]"
t,1325.0,-0.29000000000000004,"[0, 0, 5, 4]","[0.0, 0.0, 72.0, 113.0]"
t,1330.0,-0.49,"[0, 0, 7, 7]","[0.0, 0.0, 97.0, 142.0]"
t,1335.0,-0.49,"[1, 0, 5, 6]","[2.0, 0.0, 83.0, 127.0]"
t,1340.0,0.020000000000000018,"[2, 1, 4, 4]","[11.0, 3.0, 72.0, 115.0]"
t,1345.0,0.29000000000000004,"[0, 0, 4, 3]","[8.0, 0.0, 89.0, 116.0]"
t,1350.0,-0.33999999999999986,"[0, 0, 3, 3]","[0.0, 0.0, 107.0, 134.0]"
